"Countries, territories and areas; Year,""Maternal mortality ratio (per 100 000 live births)"",""Number of maternal deaths"""
"Canada; 1988,""7 [6-8]"",""28 [24-31]"""
"Canada; 1987,""6 [5-7]"",""23 [20-27]"""
"Canada; 1986,""7 [6-8]"",""27 [23-32]"""
"Canada; 1985,""7 [6-9]"",""27 [22-33]"""
"Central_African_Republic; 2020,""835 [407-1 519]"",""1 888 [921-3 434]"""
"Central_African_Republic; 2019,""847 [424-1 521]"",""1 856 [929-3 332]"""
"Central_African_Republic; 2018,""868 [445-1 552]"",""1 857 [951-3 320]"""
"Central_African_Republic; 2017,""904 [472-1 609]"",""1 890 [986-3 363]"""
"Central_African_Republic; 2016,""877 [462-1 542]"",""1 781 [938-3 130]"""
"Central_African_Republic; 2015,""909 [487-1 576]"",""1 809 [968-3 137]"""
"Central_African_Republic; 2014,""939 [514-1 601]"",""1 925 [1 054-3 281]"""
"Central_African_Republic; 2013,""963 [542-1 639]"",""1 984 [1 117-3 377]"""
"Central_African_Republic; 2012,""963 [545-1 607]"",""2 003 [1 133-3 342]"""
"Central_African_Republic; 2011,""1 029 [594-1 700]"",""2 120 [1 224-3 501]"""
"Central_African_Republic; 2010,""1 052 [608-1 728]"",""2 124 [1 228-3 491]"""
"Central_African_Republic; 2009,""1 105 [649-1 793]"",""2 176 [1 279-3 531]"""
"Central_African_Republic; 2008,""1 108 [665-1 766]"",""2 128 [1 276-3 391]"""
"Central_African_Republic; 2007,""1 124 [691-1 785]"",""2 114 [1 299-3 356]"""
"Central_African_Republic; 2006,""1 116 [693-1 750]"",""2 065 [1 282-3 238]"""
"Central_African_Republic; 2005,""1 158 [731-1 804]"",""2 084 [1 317-3 246]"""
"Central_African_Republic; 2004,""1 217 [776-1 865]"",""2 131 [1 357-3 264]"""
"Central_African_Republic; 2003,""1 248 [802-1 895]"",""2 159 [1 388-3 279]"""
"Central_African_Republic; 2002,""1 281 [838-1 936]"",""2 139 [1 400-3 233]"""
"Central_African_Republic; 2001,""1 284 [861-1 901]"",""2 118 [1 421-3 137]"""
"Central_African_Republic; 2000,""1 315 [900-1 918]"",""2 131 [1 457-3 106]"""
"Central_African_Republic; 1999,""1 270 [884-1 816]"",""2 020 [1 405-2 887]"""
"Central_African_Republic; 1998,""1 232 [868-1 748]"",""1 909 [1 346-2 710]"""
"Central_African_Republic; 1997,""1 182 [845-1 650]"",""1 785 [1 276-2 491]"""
"Central_African_Republic; 1996,""1 130 [821-1 561]"",""1 684 [1 224-2 326]"""
"Central_African_Republic; 1995,""1 099 [810-1 492]"",""1 604 [1 183-2 178]"""
"Central_African_Republic; 1994,""1 074 [803-1 434]"",""1 525 [1 140-2 037]"""
"Central_African_Republic; 1993,""1 037 [790-1 366]"",""1 442 [1 098-1 899]"""
"Central_African_Republic; 1992,""1 059 [811-1 378]"",""1 441 [1 103-1 875]"""
"Central_African_Republic; 1991,""1 040 [799-1 350]"",""1 384 [1 062-1 795]"""
"Central_African_Republic; 1990,""1 032 [790-1 341]"",""1 341 [1 027-1 744]"""
"Central_African_Republic; 1989,""1 014 [770-1 326]"",""1 287 [978-1 684]"""
"Central_African_Republic; 1988,""1 009 [757-1 337]"",""1 252 [939-1 658]"""
"Central_African_Republic; 1987,""993 [732-1 339]"",""1 221 [900-1 647]"""
"Central_African_Republic; 1986,""1 004 [727-1 385]"",""1 205 [872-1 662]"""
"Central_African_Republic; 1985,""1 003 [716-1 400]"",""1 184 [845-1 652]"""
"Chad; 2020,""1 063 [772-1 586]"",""7 764 [5 637-11 575]"""
"Chad; 2019,""1 047 [768-1 542]"",""7 478 [5 484-11 013]"""
"Chad; 2018,""1 076 [799-1 563]"",""7 436 [5 522-10 803]"""
"Chad; 2017,""1 095 [824-1 569]"",""7 399 [5 571-10 605]"""
"Chad; 2016,""1 145 [869-1 614]"",""7 594 [5 764-10 698]"""
"Chad; 2015,""1 125 [865-1 562]"",""7 394 [5 683-10 263]"""
"Chad; 2014,""1 142 [886-1 555]"",""7 343 [5 697-10 001]"""
"Chad; 2013,""1 217 [949-1 626]"",""7 621 [5 940-10 180]"""
"Chad; 2012,""1 237 [971-1 616]"",""7 569 [5 945-9 889]"""
"Chad; 2011,""1 284 [1 013-1 654]"",""7 642 [6 027-9 839]"""
"Chad; 2010,""1 303 [1 035-1 657]"",""7 559 [6 002-9 613]"""
"Chad; 2009,""1 311 [1 043-1 666]"",""7 370 [5 859-9 361]"""
"Chad; 2008,""1 245 [991-1 563]"",""6 797 [5 413-8 536]"""
"Chad; 2007,""1 264 [1 008-1 588]"",""6 738 [5 370-8 461]"""
"Chad; 2006,""1 255 [1 001-1 566]"",""6 486 [5 173-8 098]"""
"Chad; 2005,""1 241 [997-1 540]"",""6 243 [5 015-7 749]"""
"Chad; 2004,""1 229 [991-1 521]"",""5 910 [4 766-7 317]"""
"Chad; 2003,""1 255 [1 016-1 553]"",""5 736 [4 642-7 099]"""
"Chad; 2002,""1 291 [1 048-1 589]"",""5 731 [4 652-7 054]"""
"Chad; 2001,""1 343 [1 083-1 644]"",""5 856 [4 724-7 168]"""
"Chad; 2000,""1 366 [1 100-1 664]"",""5 790 [4 663-7 056]"""
"Chad; 1999,""1 356 [1 092-1 651]"",""5 601 [4 509-6 819]"""
"Chad; 1998,""1 340 [1 077-1 635]"",""5 399 [4 341-6 588]"""
"Chad; 1997,""1 337 [1 071-1 626]"",""5 214 [4 179-6 341]"""
"Chad; 1996,""1 336 [1 074-1 626]"",""5 090 [4 093-6 196]"""
"Chad; 1995,""1 373 [1 107-1 679]"",""4 876 [3 930-5 961]"""
"Chad; 1994,""1 382 [1 109-1 701]"",""4 741 [3 805-5 836]"""
"Chad; 1993,""1 381 [1 099-1 699]"",""4 818 [3 837-5 928]"""
"Chad; 1992,""1 380 [1 096-1 704]"",""4 636 [3 682-5 725]"""
"Chad; 1991,""1 391 [1 096-1 735]"",""4 339 [3 418-5 413]"""
"Chad; 1990,""1 370 [1 060-1 728]"",""4 205 [3 254-5 305]"""
"Chad; 1989,""1 382 [1 056-1 761]"",""4 076 [3 114-5 196]"""
"Chad; 1988,""1 415 [1 065-1 823]"",""4 004 [3 013-5 158]"""
"Chad; 1987,""1 457 [1 074-1 902]"",""3 904 [2 878-5 096]"""
"Chad; 1986,""1 388 [1 001-1 841]"",""3 498 [2 521-4 639]"""
"Chad; 1985,""1 420 [1 003-1 909]"",""3 479 [2 457-4 677]"""
"Chile; 2020,""15 [13-17]"",""34 [30-39]"""
"Chile; 2019,""15 [13-16]"",""33 [29-37]"""
"Chile; 2018,""15 [14-17]"",""34 [30-37]"""
"Chile; 2017,""15 [13-16]"",""33 [29-36]"""
"Chile; 2016,""15 [14-17]"",""34 [31-38]"""
"Chile; 2015,""16 [15-18]"",""38 [34-42]"""
"Chile; 2014,""16 [14-18]"",""38 [35-43]"""
"Chile; 2013,""18 [16-20]"",""43 [39-48]"""
"Chile; 2012,""19 [17-21]"",""46 [41-51]"""
"Chile; 2011,""20 [18-23]"",""49 [44-55]"""
"Chile; 2010,""23 [21-26]"",""57 [51-64]"""
"Chile; 2009,""24 [22-27]"",""59 [53-66]"""
"Chile; 2008,""26 [23-29]"",""62 [55-70]"""
"Chile; 2007,""28 [25-32]"",""67 [60-76]"""
"Chile; 2006,""29 [26-33]"",""67 [60-76]"""
"Chile; 2005,""27 [24-31]"",""62 [55-71]"""
"Chile; 2004,""29 [25-33]"",""66 [58-75]"""
"Chile; 2003,""32 [28-37]"",""76 [67-87]"""
"Chile; 2002,""32 [28-36]"",""76 [67-87]"""
"Chile; 2001,""34 [30-39]"",""83 [72-96]"""
"Chile; 2000,""33 [28-38]"",""80 [69-92]"""
"Chile; 1999,""34 [30-40]"",""86 [75-100]"""
"Chile; 1998,""34 [30-40]"",""88 [77-102]"""
"Chile; 1997,""40 [34-46]"",""105 [91-122]"""
"Chile; 1996,""41 [35-48]"",""112 [96-130]"""
"Chile; 1995,""43 [37-50]"",""118 [102-138]"""
"Chile; 1994,""49 [42-57]"",""138 [118-160]"""
"Chile; 1993,""50 [43-58]"",""143 [122-166]"""
"Chile; 1992,""51 [44-59]"",""148 [126-172]"""
"Chile; 1991,""53 [46-63]"",""159 [136-186]"""
"Chile; 1990,""58 [49-68]"",""171 [146-202]"""
"Chile; 1989,""67 [57-79]"",""197 [167-233]"""
"Chile; 1988,""66 [56-80]"",""193 [161-231]"""
"Chile; 1987,""71 [58-87]"",""204 [167-249]"""
"Chile; 1986,""72 [58-91]"",""204 [164-255]"""
"Chile; 1985,""75 [59-98]"",""210 [164-272]"""
"China; 2020,""23 [19-27]"",""2 822 [2 337-3 249]"""
"China; 2019,""20 [17-23]"",""2 985 [2 519-3 414]"""
"China; 2018,""20 [17-23]"",""3 156 [2 701-3 578]"""
"China; 2017,""22 [19-25]"",""4 031 [3 482-4 544]"""
"China; 2016,""23 [20-26]"",""4 262 [3 720-4 783]"""
"China; 2015,""26 [23-29]"",""4 533 [3 994-5 076]"""
"China; 2014,""26 [23-29]"",""4 832 [4 292-5 384]"""
"China; 2013,""28 [25-31]"",""5 166 [4 603-5 725]"""
"China; 2012,""28 [25-31]"",""5 471 [4 874-6 045]"""
"China; 2011,""32 [29-36]"",""5 737 [5 132-6 342]"""
"China; 2010,""33 [30-37]"",""5 961 [5 379-6 565]"""
"China; 2009,""34 [31-37]"",""6 158 [5 589-6 777]"""
"China; 2008,""38 [35-42]"",""6 791 [6 177-7 505]"""
"China; 2007,""39 [36-44]"",""6 797 [6 188-7 527]"""
"China; 2006,""43 [39-47]"",""7 206 [6 556-7 990]"""
"China; 2005,""46 [41-51]"",""7 597 [6 905-8 443]"""
"China; 2004,""49 [44-54]"",""8 040 [7 293-8 975]"""
"China; 2003,""43 [39-48]"",""7 027 [6 350-7 861]"""
"China; 2002,""54 [49-60]"",""8 781 [7 923-9 852]"""
"China; 2001,""55 [50-62]"",""9 111 [8 220-10 245]"""
"China; 2000,""58 [52-66]"",""10 100 [9 087-11 416]"""
"China; 1999,""64 [57-73]"",""10 718 [9 571-12 125]"""
"China; 1998,""63 [56-72]"",""10 712 [9 520-12 187]"""
"China; 1997,""66 [58-75]"",""11 486 [10 187-13 192]"""
"China; 1996,""66 [59-77]"",""12 026 [10 608-13 885]"""
"China; 1995,""76 [67-89]"",""14 359 [12 610-16 753]"""
"China; 1994,""79 [69-93]"",""15 327 [13 409-18 000]"""
"China; 1993,""78 [68-93]"",""15 749 [13 711-18 679]"""
"China; 1992,""90 [78-108]"",""18 911 [16 410-22 798]"""
"China; 1991,""88 [76-107]"",""19 994 [17 244-24 248]"""
"China; 1990,""86 [74-106]"",""24 231 [20 839-29 948]"""
"China; 1989,""90 [77-113]"",""24 455 [20 879-30 654]"""
"China; 1988,""95 [81-121]"",""25 071 [21 257-31 913]"""
"China; 1987,""94 [79-121]"",""25 886 [21 829-33 498]"""
"China; 1986,""103 [86-134]"",""26 813 [22 340-35 085]"""
"China; 1985,""114 [95-151]"",""27 692 [22 921-36 627]"""
"Colombia; 2020,""75 [65-86]"",""548 [477-633]"""
"Colombia; 2019,""65 [58-75]"",""480 [424-552]"""
"Colombia; 2018,""63 [56-72]"",""460 [410-526]"""
"Colombia; 2017,""71 [65-81]"",""519 [468-591]"""
"Colombia; 2016,""70 [64-80]"",""512 [467-582]"""
"Colombia; 2015,""70 [64-79]"",""515 [473-581]"""
"Colombia; 2014,""70 [65-79]"",""517 [478-583]"""
"Colombia; 2013,""70 [65-79]"",""523 [485-587]"""
"Colombia; 2012,""71 [66-79]"",""529 [492-592]"""
"Colombia; 2011,""71 [66-79]"",""532 [496-593]"""
"Colombia; 2010,""71 [66-78]"",""535 [500-595]"""
"Colombia; 2009,""71 [67-79]"",""546 [512-603]"""
"Colombia; 2008,""73 [68-80]"",""566 [531-621]"""
"Colombia; 2007,""83 [79-90]"",""654 [618-710]"""
"Colombia; 2006,""82 [78-88]"",""654 [621-702]"""
"Colombia; 2005,""82 [78-87]"",""666 [635-707]"""
"Colombia; 2004,""82 [79-86]"",""681 [651-715]"""
"Colombia; 2003,""83 [79-86]"",""694 [666-723]"""
"Colombia; 2002,""93 [90-97]"",""792 [763-822]"""
"Colombia; 2001,""94 [90-98]"",""810 [777-843]"""
"Colombia; 2000,""93 [89-97]"",""804 [769-844]"""
"Colombia; 1999,""94 [89-99]"",""823 [781-869]"""
"Colombia; 1998,""100 [94-106]"",""883 [830-935]"""
"Colombia; 1997,""99 [92-105]"",""873 [815-929]"""
"Colombia; 1996,""98 [90-104]"",""870 [804-928]"""
"Colombia; 1995,""97 [88-103]"",""867 [792-926]"""
"Colombia; 1994,""105 [95-113]"",""950 [859-1 018]"""
"Colombia; 1993,""105 [95-113]"",""952 [855-1 022]"""
"Colombia; 1992,""107 [95-115]"",""961 [856-1 034]"""
"Colombia; 1991,""108 [95-116]"",""970 [858-1 047]"""
"Colombia; 1990,""108 [96-117]"",""968 [854-1 047]"""
"Colombia; 1989,""119 [105-129]"",""1 052 [931-1 144]"""
"Colombia; 1988,""121 [107-133]"",""1 063 [937-1 163]"""
"Colombia; 1987,""125 [110-138]"",""1 086 [957-1 200]"""
"Colombia; 1986,""125 [110-140]"",""1 081 [948-1 209]"""
"Colombia; 1985,""130 [102-164]"",""1 111 [870-1 401]"""
"Comoros; 2020,""217 [131-367]"",""52 [32-88]"""
"Comoros; 2019,""237 [146-396]"",""57 [35-95]"""
"Comoros; 2018,""244 [153-404]"",""58 [37-97]"""
"Comoros; 2017,""241 [152-393]"",""58 [37-94]"""
"Comoros; 2016,""255 [162-408]"",""61 [39-98]"""
"Comoros; 2015,""261 [167-413]"",""60 [38-95]"""
"Comoros; 2014,""292 [189-456]"",""67 [43-105]"""
"Comoros; 2013,""285 [188-444]"",""65 [43-102]"""
"Comoros; 2012,""297 [198-459]"",""68 [46-106]"""
"Comoros; 2011,""293 [197-449]"",""67 [45-103]"""
"Comoros; 2010,""316 [214-479]"",""70 [47-105]"""
"Comoros; 2009,""311 [213-471]"",""68 [47-104]"""
"Comoros; 2008,""361 [246-540]"",""76 [52-113]"""
"Comoros; 2007,""358 [245-535]"",""75 [52-112]"""
"Comoros; 2006,""365 [250-543]"",""77 [52-114]"""
"Comoros; 2005,""360 [246-540]"",""76 [52-113]"""
"Comoros; 2004,""374 [255-560]"",""75 [51-112]"""
"Comoros; 2003,""385 [264-577]"",""77 [53-115]"""
"Comoros; 2002,""392 [267-587]"",""78 [53-117]"""
"Comoros; 2001,""435 [292-649]"",""83 [55-123]"""
"Comoros; 2000,""456 [308-677]"",""87 [58-129]"""
"Comoros; 1999,""447 [305-667]"",""85 [58-127]"""
"Comoros; 1998,""449 [306-671]"",""85 [58-128]"""
"Comoros; 1997,""463 [313-688]"",""88 [59-131]"""
"Comoros; 1996,""478 [323-706]"",""91 [61-134]"""
"Comoros; 1995,""482 [326-713]"",""92 [62-135]"""
"Comoros; 1994,""542 [368-807]"",""97 [66-145]"""
"Comoros; 1993,""521 [354-776]"",""99 [67-148]"""
"Comoros; 1992,""594 [402-886]"",""107 [72-160]"""
"Comoros; 1991,""612 [415-914]"",""110 [75-165]"""
"Comoros; 1990,""603 [405-901]"",""108 [73-162]"""
"Comoros; 1989,""624 [416-939]"",""112 [75-169]"""
"Comoros; 1988,""613 [408-936]"",""110 [73-168]"""
"Comoros; 1987,""646 [422-993]"",""110 [72-169]"""
"Comoros; 1986,""636 [407-988]"",""108 [69-168]"""
"Comoros; 1985,""656 [416-1 041]"",""112 [71-177]"""
"Congo; 2020,""282 [194-429]"",""503 [345-764]"""
"Congo; 2019,""292 [184-481]"",""517 [326-852]"""
"Congo; 2018,""370 [259-547]"",""651 [455-963]"""
"Congo; 2017,""366 [262-531]"",""644 [461-934]"""
"Congo; 2016,""353 [255-502]"",""617 [447-879]"""
"Congo; 2015,""360 [266-506]"",""634 [468-890]"""
"Congo; 2014,""375 [278-515]"",""661 [489-907]"""
"Congo; 2013,""362 [273-492]"",""640 [484-872]"""
"Congo; 2012,""402 [305-539]"",""712 [540-953]"""
"Congo; 2011,""387 [298-512]"",""678 [521-896]"""
"Congo; 2010,""389 [301-504]"",""669 [517-867]"""
"Congo; 2009,""415 [323-533]"",""672 [523-863]"""
"Congo; 2008,""415 [324-532]"",""647 [506-830]"""
"Congo; 2007,""439 [345-561]"",""650 [510-830]"""
"Congo; 2006,""479 [377-612]"",""680 [535-869]"""
"Congo; 2005,""488 [382-623]"",""668 [524-853]"""
"Congo; 2004,""541 [422-692]"",""714 [557-913]"""
"Congo; 2003,""587 [457-753]"",""746 [581-956]"""
"Congo; 2002,""620 [481-793]"",""774 [601-991]"""
"Congo; 2001,""641 [492-825]"",""783 [600-1 006]"""
"Congo; 2000,""660 [506-849]"",""759 [582-976]"""
"Congo; 1999,""730 [556-947]"",""832 [634-1 080]"""
"Congo; 1998,""825 [624-1 082]"",""916 [693-1 201]"""
"Congo; 1997,""967 [719-1 273]"",""1 063 [791-1 401]"""
"Congo; 1996,""731 [542-964]"",""790 [585-1 041]"""
"Congo; 1995,""758 [553-1 004]"",""796 [581-1 055]"""
"Congo; 1994,""787 [568-1 047]"",""803 [579-1 068]"""
"Congo; 1993,""786 [562-1 056]"",""786 [562-1 056]"""
"Congo; 1992,""827 [586-1 122]"",""802 [568-1 088]"""
"Congo; 1991,""780 [541-1 058]"",""741 [514-1 005]"""
"Congo; 1990,""740 [499-1 016]"",""688 [464-945]"""
"Congo; 1989,""694 [459-953]"",""631 [418-868]"""
"Congo; 1988,""656 [427-911]"",""584 [380-811]"""
"Congo; 1987,""616 [394-857]"",""536 [342-746]"""
"Congo; 1986,""627 [391-879]"",""533 [333-747]"""
"Congo; 1985,""631 [387-892]"",""523 [321-741]"""
"Costa_Rica; 2020,""22 [18-26]"",""14 [11-16]"""
"Costa_Rica; 2019,""19 [15-22]"",""12 [10-14]"""
"Costa_Rica; 2018,""18 [15-21]"",""12 [10-14]"""
"Costa_Rica; 2017,""19 [16-21]"",""13 [11-15]"""
"Costa_Rica; 2016,""19 [16-21]"",""13 [11-15]"""
"Costa_Rica; 2015,""20 [17-22]"",""14 [12-16]"""
"Costa_Rica; 2014,""24 [21-27]"",""17 [15-19]"""
"Costa_Rica; 2013,""23 [21-26]"",""17 [15-19]"""
"Costa_Rica; 2012,""24 [22-27]"",""18 [16-19]"""
"Costa_Rica; 2011,""24 [22-27]"",""18 [16-20]"""
"Costa_Rica; 2010,""27 [24-29]"",""20 [18-21]"""
"Costa_Rica; 2009,""26 [24-29]"",""20 [18-21]"""
"Costa_Rica; 2008,""27 [25-29]"",""21 [19-22]"""
"Costa_Rica; 2007,""28 [26-31]"",""21 [20-23]"""
"Costa_Rica; 2006,""29 [27-32]"",""21 [20-23]"""
"Costa_Rica; 2005,""31 [28-33]"",""22 [21-24]"""
"Costa_Rica; 2004,""32 [29-35]"",""23 [21-25]"""
"Costa_Rica; 2003,""37 [34-40]"",""27 [25-30]"""
"Costa_Rica; 2002,""36 [33-40]"",""27 [25-30]"""
"Costa_Rica; 2001,""37 [34-41]"",""29 [26-32]"""
"Costa_Rica; 2000,""39 [35-43]"",""30 [28-34]"""
"Costa_Rica; 1999,""39 [36-43]"",""31 [28-34]"""
"Costa_Rica; 1998,""41 [37-45]"",""32 [29-36]"""
"Costa_Rica; 1997,""38 [34-42]"",""30 [28-34]"""
"Costa_Rica; 1996,""44 [40-50]"",""35 [32-40]"""
"Costa_Rica; 1995,""43 [39-48]"",""35 [31-39]"""
"Costa_Rica; 1994,""42 [38-47]"",""34 [31-38]"""
"Costa_Rica; 1993,""44 [40-49]"",""37 [33-41]"""
"Costa_Rica; 1992,""44 [39-49]"",""36 [33-41]"""
"Costa_Rica; 1991,""43 [39-49]"",""36 [33-41]"""
"Costa_Rica; 1990,""44 [39-50]"",""37 [33-42]"""
"Costa_Rica; 1989,""44 [39-50]"",""37 [33-42]"""
"Costa_Rica; 1988,""45 [40-52]"",""38 [34-44]"""
"Costa_Rica; 1987,""45 [40-53]"",""39 [34-45]"""
"Costa_Rica; 1986,""49 [43-58]"",""41 [36-49]"""
"Costa_Rica; 1985,""50 [43-60]"",""42 [36-50]"""
"Cote_dlvoire; 2020,""480 [318-730]"",""4 401 [2 916-6 691]"""
"Cote_dlvoire; 2019,""483 [325-723]"",""4 365 [2 938-6 537]"""
"Cote_dlvoire; 2018,""522 [358-771]"",""4 664 [3 201-6 883]"""
"Cote_dlvoire; 2017,""512 [355-745]"",""4 571 [3 166-6 645]"""
"Cote_dlvoire; 2016,""537 [375-773]"",""4 680 [3 269-6 734]"""
"Cote_dlvoire; 2015,""530 [375-753]"",""4 540 [3 210-6 450]"""
"Cote_dlvoire; 2014,""550 [394-772]"",""4 633 [3 316-6 502]"""
"Cote_dlvoire; 2013,""579 [423-805]"",""4 844 [3 541-6 736]"""
"Cote_dlvoire; 2012,""597 [446-817]"",""4 975 [3 715-6 802]"""
"Cote_dlvoire; 2011,""591 [447-795]"",""4 917 [3 721-6 615]"""
"Cote_dlvoire; 2010,""604 [461-801]"",""4 972 [3 794-6 593]"""
"Cote_dlvoire; 2009,""619 [477-810]"",""5 036 [3 879-6 582]"""
"Cote_dlvoire; 2008,""589 [457-761]"",""4 745 [3 684-6 137]"""
"Cote_dlvoire; 2007,""589 [460-753]"",""4 715 [3 676-6 021]"""
"Cote_dlvoire; 2006,""583 [457-737]"",""4 639 [3 634-5 869]"""
"Cote_dlvoire; 2005,""540 [427-679]"",""4 279 [3 384-5 375]"""
"Cote_dlvoire; 2004,""536 [426-675]"",""4 208 [3 348-5 298]"""
"Cote_dlvoire; 2003,""539 [428-680]"",""4 219 [3 350-5 318]"""
"Cote_dlvoire; 2002,""520 [414-654]"",""4 013 [3 198-5 049]"""
"Cote_dlvoire; 2001,""495 [394-621]"",""3 785 [3 010-4 743]"""
"Cote_dlvoire; 2000,""473 [378-593]"",""3 565 [2 849-4 466]"""
"Cote_dlvoire; 1999,""466 [372-586]"",""3 432 [2 740-4 316]"""
"Cote_dlvoire; 1998,""455 [363-569]"",""3 256 [2 599-4 077]"""
"Cote_dlvoire; 1997,""451 [360-567]"",""3 108 [2 477-3 909]"""
"Cote_dlvoire; 1996,""460 [366-578]"",""3 048 [2 425-3 833]"""
"Cote_dlvoire; 1995,""507 [403-637]"",""3 252 [2 587-4 088]"""
"Cote_dlvoire; 1994,""536 [425-672]"",""3 312 [2 626-4 150]"""
"Cote_dlvoire; 1993,""550 [440-697]"",""3 321 [2 659-4 207]"""
"Cote_dlvoire; 1992,""584 [466-741]"",""3 441 [2 748-4 366]"""
"Cote_dlvoire; 1991,""592 [471-753]"",""3 394 [2 702-4 315]"""
"Cote_dlvoire; 1990,""625 [492-796]"",""3 473 [2 733-4 424]"""
"Cote_dlvoire; 1989,""627 [486-803]"",""3 379 [2 622-4 328]"""
"Cote_dlvoire; 1988,""648 [494-839]"",""3 284 [2 505-4 252]"""
"Cote_dlvoire; 1987,""666 [503-876]"",""3 318 [2 505-4 363]"""
"Cote_dlvoire; 1986,""668 [495-888]"",""3 294 [2 442-4 377]"""
"Cote_dlvoire; 1985,""667 [488-896]"",""3 248 [2 375-4 366]"""
"Croatia; 2020,""5 [3-7]"",""2 [1-2]"""
"Croatia; 2019,""5 [3-6]"",""2 [1-2]"""
"Croatia; 2018,""5 [4-7]"",""2 [1-2]"""
"Croatia; 2017,""5 [4-7]"",""2 [1-3]"""
"Croatia; 2016,""5 [4-7]"",""2 [2-3]"""
"Croatia; 2015,""6 [5-8]"",""2 [2-3]"""
"Croatia; 2014,""6 [5-8]"",""2 [2-3]"""
"Croatia; 2013,""6 [5-8]"",""2 [2-3]"""
"Croatia; 2012,""6 [5-8]"",""3 [2-4]"""
"Croatia; 2011,""7 [6-9]"",""3 [2-4]"""
"Croatia; 2010,""7 [6-9]"",""3 [3-4]"""
"Croatia; 2009,""9 [7-12]"",""4 [3-5]"""
"Croatia; 2008,""8 [6-10]"",""4 [3-5]"""
"Croatia; 2007,""9 [7-11]"",""4 [3-5]"""
"Croatia; 2006,""9 [7-11]"",""4 [3-5]"""
"Croatia; 2005,""9 [7-12]"",""4 [3-5]"""
"Croatia; 2004,""10 [8-12]"",""4 [3-5]"""
"Croatia; 2003,""11 [9-14]"",""5 [4-6]"""
"Croatia; 2002,""11 [9-14]"",""5 [4-6]"""
"Croatia; 2001,""11 [9-13]"",""5 [4-6]"""
"Croatia; 2000,""11 [9-13]"",""5 [4-6]"""
"Croatia; 1999,""11 [9-13]"",""5 [4-6]"""
"Croatia; 1998,""11 [9-13]"",""5 [4-6]"""
"Croatia; 1997,""11 [9-13]"",""6 [5-8]"""
"Croatia; 1996,""11 [9-14]"",""6 [5-8]"""
"Croatia; 1995,""13 [10-15]"",""7 [6-8]"""
"Croatia; 1994,""10 [8-12]"",""5 [4-6]"""
"Croatia; 1993,""11 [9-13]"",""5 [4-6]"""
"Croatia; 1992,""11 [9-13]"",""5 [4-6]"""
"Croatia; 1991,""13 [9-17]"",""7 [5-9]"""
"Croatia; 1990,""12 [9-14]"",""7 [5-8]"""
"Croatia; 1989,""12 [9-15]"",""7 [5-8]"""
"Croatia; 1988,""11 [8-14]"",""7 [5-8]"""
"Croatia; 1987,""11 [8-14]"",""7 [5-9]"""
"Croatia; 1986,""11 [8-14]"",""7 [5-9]"""
"Croatia; 1985,""13 [9-17]"",""8 [6-11]"""
"Cuba; 2020,""39 [35-44]"",""42 [37-46]"""
"Cuba; 2019,""40 [37-44]"",""44 [40-48]"""
"Cuba; 2018,""39 [35-42]"",""45 [41-49]"""
"Cuba; 2017,""40 [37-43]"",""46 [43-50]"""
"Cuba; 2016,""41 [38-44]"",""48 [44-52]"""
"Cuba; 2015,""39 [36-42]"",""49 [45-53]"""
"Cuba; 2014,""41 [38-44]"",""50 [46-54]"""
"Cuba; 2013,""41 [38-44]"",""51 [47-56]"""
"Cuba; 2012,""41 [38-45]"",""52 [48-57]"""
"Cuba; 2011,""40 [37-43]"",""53 [49-57]"""
"Cuba; 2010,""41 [38-44]"",""53 [49-57]"""
"Cuba; 2009,""40 [37-44]"",""52 [49-57]"""
"Cuba; 2008,""42 [39-46]"",""51 [48-56]"""
"Cuba; 2007,""45 [42-49]"",""51 [47-55]"""
"Cuba; 2006,""46 [43-50]"",""50 [47-54]"""
"Cuba; 2005,""43 [40-47]"",""51 [47-55]"""
"Cuba; 2004,""41 [38-44]"",""51 [47-55]"""
"Cuba; 2003,""39 [36-42]"",""51 [48-55]"""
"Cuba; 2002,""45 [42-49]"",""62 [57-67]"""
"Cuba; 2001,""47 [43-51]"",""63 [58-69]"""
"Cuba; 2000,""47 [43-51]"",""66 [60-72]"""
"Cuba; 1999,""48 [43-52]"",""70 [63-76]"""
"Cuba; 1998,""50 [45-55]"",""75 [67-82]"""
"Cuba; 1997,""53 [48-59]"",""80 [71-89]"""
"Cuba; 1996,""61 [54-69]"",""86 [76-97]"""
"Cuba; 1995,""63 [55-72]"",""91 [81-105]"""
"Cuba; 1994,""65 [57-75]"",""97 [85-112]"""
"Cuba; 1993,""65 [57-76]"",""101 [88-117]"""
"Cuba; 1992,""63 [55-75]"",""103 [89-121]"""
"Cuba; 1991,""70 [60-83]"",""121 [104-143]"""
"Cuba; 1990,""65 [55-77]"",""121 [103-144]"""
"Cuba; 1989,""65 [55-78]"",""121 [102-145]"""
"Cuba; 1988,""64 [53-79]"",""120 [100-147]"""
"Cuba; 1987,""66 [54-83]"",""119 [97-148]"""
"Cuba; 1986,""68 [55-87]"",""118 [95-149]"""
"Cuba; 1985,""69 [55-90]"",""116 [93-151]"""
"Cyprus; 2020,""68 [47-99]"",""9 [6-13]"""
"Cyprus; 2019,""64 [50-82]"",""8 [6-11]"""
"Cyprus; 2018,""59 [46-76]"",""8 [6-10]"""
